Original_County	State	Guns	joinfield	state_fips	county_fips
DALLAS	MO	2	MO-DALLAS	#N/A	
DALLAS	TX	156	TX-DALLAS	#N/A	
DANE	WI	110	WI-DANE	#N/A	
DANIELS	MT	1	MT-DANIELS	#N/A	
DANVILLE CITY	VA	1	VA-DANVILLE CITY	#N/A	
DARKE	OH	2	OH-DARKE	#REF!	
DARLINGTON	SC	11	SC-DARLINGTON	#N/A	
DAUPHIN	PA	2	PA-DAUPHIN	#N/A	
DAVIDSON	NC	7	NC-DAVIDSON	#N/A	
DAVIDSON	TN	76	TN-DAVIDSON	#N/A	
DAVIESS	IN	6	IN-DAVIESS	#N/A	
DAVIESS	KY	38	KY-DAVIESS	#N/A	
DAVIS	UT	1	UT-DAVIS	#N/A	
DAVISON	SD	1	SD-DAVISON	#N/A	
DAWSON	GA	3	GA-DAWSON	#N/A	
DAWSON	MT	1	MT-DAWSON	#N/A	
DAWSON	NE	2	NE-DAWSON	#N/A	
DE KALB	AL	11	AL-DE KALB	#N/A	
DE KALB	IL	39	IL-DE KALB	#N/A	
DE KALB	IN	51	IN-DE KALB	#N/A	
DE SOTO	FL	1	FL-DE SOTO	#N/A	
DE SOTO	MS	74	MS-DE SOTO	#N/A	
DE WITT	TX	1	TX-DE WITT	#N/A	
DEAF SMITH	TX	1	TX-DEAF SMITH	#N/A	
DEARBORN	IN	1	IN-DEARBORN	#N/A	
DECATUR	IA	2	IA-DECATUR	#N/A	
DECATUR	IN	9	IN-DECATUR	#N/A	
DECATUR	TN	2	TN-DECATUR	#N/A	
DEER LODGE	MT	1	MT-DEER LODGE	#N/A	
DEFIANCE	OH	3	OH-DEFIANCE	#N/A	
DEKALB	GA	73	GA-DEKALB	#N/A	
DEKALB	TN	1	TN-DEKALB	#N/A	
DELAWARE	IA	2	IA-DELAWARE	#N/A	
DELAWARE	IN	53	IN-DELAWARE	#N/A	
DELAWARE	OH	3	OH-DELAWARE	#N/A	
DELAWARE	OK	1	OK-DELAWARE	#N/A	
DELAWARE	PA	3	PA-DELAWARE	#N/A	
DELTA	CO	1	CO-DELTA	#N/A	
DELTA	MI	7	MI-DELTA	#N/A	
DELTA	TX	1	TX-DELTA	#N/A	
DENT	MO	1	MO-DENT	#N/A	
DENTON	TX	11	TX-DENTON	#N/A	
DENVER	CO	29	CO-DENVER	#N/A	
DES MOINES	IA	22	IA-DES MOINES	#N/A	
DESCHUTES	OR	2	OR-DESCHUTES	#N/A	
DESHA	AR	16	AR-DESHA	#N/A	
DEWITT	IL	11	IL-DEWITT	#N/A	
DICKENSON	VA	1	VA-DICKENSON	#N/A	
DICKINSON	KS	3	KS-DICKINSON	#N/A	
DICKINSON	MI	3	MI-DICKINSON	#N/A	
DICKSON	TN	6	TN-DICKSON	#N/A	
DILLON	SC	1	SC-DILLON	#N/A	
DISTRICT OF COLUMBIA	DC	2	DC-DISTRICT OF COLUMBIA	#N/A	
DODDRIDGE	WV	3	WV-DODDRIDGE	#REF!	
DODGE	MN	1	MN-DODGE	#N/A	
DODGE	NE	8	NE-DODGE	#N/A	
DODGE	WI	26	WI-DODGE	#N/A	
DONA ANA	NM	6	NM-DONA ANA	#N/A	
DOOLY	GA	2	GA-DOOLY	#N/A	
DOOR	WI	2	WI-DOOR	#N/A	
DORCHESTER	SC	1	SC-DORCHESTER	#N/A	
DOUGHERTY	GA	14	GA-DOUGHERTY	#N/A	
DOUGLAS	CO	3	CO-DOUGLAS	#N/A	
DOUGLAS	GA	1	GA-DOUGLAS	#N/A	
